ticker,fiscal_year,fiscal_period,report_date,revenue,gross_profit,operating_income,pretax_income,net_income,net_income_common,currency
JRSH,2021,FY,2022-03-31,143354902,27331635,10488558,10443875,7919600,7919600,USD
JRSH,2022,FY,2023-03-31,138063309,21789740,4414862,4083733,2419623,2419623,USD
JRSH,2023,FY,2024-03-31,117187340,16902349,-664955,-1369431,-2005902,-2005902,USD
JSDA,2020,FY,2020-12-31,11895000,2679000,-2828000,-2970000,-2997000,-2997000,USD
JSDA,2021,FY,2021-12-31,14792000,4398000,-1907000,-1784000,-1811000,-1811000,USD
JSDA,2022,FY,2022-12-31,19085000,5143000,-6093000,-6376000,-6404000,-6404000,USD
JSDA,2023,FY,2023-12-31,16669000,4855000,-4878000,-4821000,-4854000,-4854000,USD
JUSHF,2021,FY,2021-12-31,209292000,83394000,-29421000,47104000,20251000,20251000,USD
JUSHF,2022,FY,2022-12-31,284284000,95478000,-60688000,-193876000,-202324000,-202324000,USD
JUSHF,2023,FY,2023-12-31,269445000,116228000,5756000,-33296000,-65102000,-65102000,USD
JVA,2020,FY,2020-10-31,74335815,13078889,-825318,-377757,-94301,-94301,USD
JVA,2021,FY,2021-10-31,63922402,16021276,2525155,1207857,1255354,1255354,USD
JVA,2022,FY,2022-10-31,65706879,11013946,-2569348,-5597650,-3744785,-3744785,USD
JVA,2023,FY,2023-10-31,68173404,10959022,-1331695,-1103796,-835576,-835576,USD
JVA,2024,FY,2024-10-31,78562298,16041769,2963558,3067899,2218014,2218014,USD
